0.0,0
0.0,1
0.0,2
0.0,3
0.0,4
0.0,5
0.0,8
0.0,9
0.0,12
0.0,13
0.0,16
0.0,17
0.0,0,1
0.0,0,2
0.0,0,3
0.0,0,4
0.0,0,5
0.0,0,8
0.0,0,9
0.0,0,12
0.0,0,13
0.0,0,16
0.0,0,17
0.0,1,2
0.0,1,3
0.0,1,4
0.0,1,5
0.0,1,8
0.0,1,9
0.0,1,12
0.0,1,13
0.0,1,16
0.0,1,17
0.0,2,3
0.0,2,4
0.0,2,5
0.0,2,8
0.0,2,9
0.0,2,12
0.0,2,13
0.0,2,16
0.0,2,17
0.0,3,4
0.0,3,5
0.0,3,8
0.0,3,9
0.0,3,12
0.0,3,13
0.0,3,16
0.0,3,17
40000.0,4,5
0.0,4,8
3860.0,4,9
0.0,4,12
4042.67,4,13
0.0,4,16
3516.0,4,17
3860.0,5,8
0.0,5,9
4042.67,5,12
0.0,5,13
3516.0,5,16
0.0,5,17
38516.0,8,9
0.0,8,12
5526.67,8,13
0.0,8,16
5000.0,8,17
5526.67,9,12
0.0,9,13
5000.0,9,16
0.0,9,17
37556.0,12,13
0.0,12,16
5182.67,12,17
5182.67,13,16
0.0,13,17
38860.0,16,17
0.0,0,1,2
0.0,0,1,3
0.0,0,1,4
32605.0,0,1,5
0.0,0,1,8
30000.0,0,1,9
0.0,0,1,12
30146.0,0,1,13
0.0,0,1,16
30000.0,0,1,17
0.0,0,2,3
0.0,0,2,4
0.0,0,2,5
0.0,0,2,8
0.0,0,2,9
0.0,0,2,12
0.0,0,2,13
0.0,0,2,16
0.0,0,2,17
0.0,0,3,4
0.0,0,3,5
0.0,0,3,8
0.0,0,3,9
0.0,0,3,12
0.0,0,3,13
0.0,0,3,16
0.0,0,3,17
40000.0,0,4,5
0.0,0,4,8
3860.0,0,4,9
0.0,0,4,12
4042.67,0,4,13
0.0,0,4,16
3516.0,0,4,17
3860.0,0,5,8
0.0,0,5,9
4042.67,0,5,12
0.0,0,5,13
3516.0,0,5,16
0.0,0,5,17
38516.0,0,8,9
0.0,0,8,12
5526.67,0,8,13
0.0,0,8,16
5000.0,0,8,17
5526.67,0,9,12
0.0,0,9,13
5000.0,0,9,16
0.0,0,9,17
37556.0,0,12,13
0.0,0,12,16
5182.67,0,12,17
5182.67,0,13,16
0.0,0,13,17
38860.0,0,16,17
0.0,1,2,3
0.0,1,2,4
0.0,1,2,5
0.0,1,2,8
