0.0, 0
0.0, 1
0.0, 2
0.0, 3
0.0, 4
0.0, 5
0.0, 8
0.0, 9
0.0, 12
0.0, 13
0.0, 16
0.0, 17
0.0, 1,0
0.0, 2,0
0.0, 3,0
0.0, 4,0
0.0, 5,0
0.0, 8,0
0.0, 9,0
0.0, 12,0
0.0, 13,0
0.0, 16,0
0.0, 17,0
0.0, 2,1
0.0, 3,1
0.0, 4,1
0.0, 5,1
0.0, 8,1
0.0, 9,1
0.0, 12,1
0.0, 13,1
0.0, 16,1
0.0, 17,1
0.0, 3,2
0.0, 4,2
0.0, 5,2
0.0, 8,2
0.0, 9,2
0.0, 12,2
0.0, 13,2
0.0, 16,2
0.0, 17,2
0.0, 4,3
0.0, 5,3
0.0, 8,3
0.0, 9,3
0.0, 12,3
0.0, 13,3
0.0, 16,3
0.0, 17,3
38412.0, 5,4
0.0, 8,4
2106.33, 9,4
0.0, 12,4
2638.33, 13,4
0.0, 16,4
4744.67, 17,4
2106.33, 8,5
0.0, 9,5
2638.33, 12,5
0.0, 13,5
4744.67, 16,5
0.0, 17,5
39305.0, 9,8
0.0, 12,8
1745.33, 13,8
0.0, 16,8
3851.67, 17,8
1745.33, 12,9
0.0, 13,9
3851.67, 16,9
0.0, 17,9
38773.0, 13,12
0.0, 16,12
4383.67, 17,12
4383.67, 16,13
0.0, 17,13
36020.0, 17,16
0.0, 2,1,0
0.0, 3,1,0
0.0, 4,1,0
31967.0, 5,1,0
0.0, 8,1,0
31639.0, 9,1,0
0.0, 12,1,0
30440.0, 13,1,0
0.0, 16,1,0
30000.0, 17,1,0
0.0, 3,2,0
0.0, 4,2,0
0.0, 5,2,0
0.0, 8,2,0
0.0, 9,2,0
0.0, 12,2,0
0.0, 13,2,0
0.0, 16,2,0
0.0, 17,2,0
0.0, 4,3,0
0.0, 5,3,0
0.0, 8,3,0
0.0, 9,3,0
0.0, 12,3,0
0.0, 13,3,0
0.0, 16,3,0
0.0, 17,3,0
38412.0, 5,4,0
0.0, 8,4,0
2106.33, 9,4,0
0.0, 12,4,0
2638.33, 13,4,0
0.0, 16,4,0
4744.67, 17,4,0
2106.33, 8,5,0
0.0, 9,5,0
2638.33, 12,5,0
0.0, 13,5,0
4744.67, 16,5,0
0.0, 17,5,0
39305.0, 9,8,0
0.0, 12,8,0
1745.33, 13,8,0
0.0, 16,8,0
3851.67, 17,8,0
1745.33, 12,9,0
0.0, 13,9,0
3851.67, 16,9,0
0.0, 17,9,0
38773.0, 13,12,0
0.0, 16,12,0
4383.67, 17,12,0
4383.67, 16,13,0
0.0, 17,13,0
36020.0, 17,16,0
0.0, 3,2,1
0.0, 4,2,1
0.0, 5,2,1
0.0, 8,2,1
0.0, 9,2,1
0.0, 12,2,1
0.0, 13,2,1
0.0, 16,2,1
0.0, 17,2,1
0.0, 4,3,1
0.0, 5,3,1
0.0, 8,3,1
0.0, 9,3,1
0.0, 12,3,1
0.0, 13,3,1
0.0, 16,3,1
0.0, 17,3,1
38412.0, 5,4,1
0.0, 8,4,1
2106.33, 9,4,1
0.0, 12,4,1
2638.33, 13,4,1
0.0, 16,4,1
4744.67, 17,4,1
2106.33, 8,5,1
0.0, 9,5,1
2638.33, 12,5,1
0.0, 13,5,1
4744.67, 16,5,1
0.0, 17,5,1
39305.0, 9,8,1
0.0, 12,8,1
1745.33, 13,8,1
0.0, 16,8,1
3851.67, 17,8,1
1745.33, 12,9,1
0.0, 13,9,1
3851.67, 16,9,1
0.0, 17,9,1
38773.0, 13,12,1
0.0, 16,12,1
4383.67, 17,12,1
4383.67, 16,13,1
0.0, 17,13,1
36020.0, 17,16,1
31967.0, 4,3,2
0.0, 5,3,2
31639.0, 8,3,2
0.0, 9,3,2
30440.0, 12,3,2
0.0, 13,3,2
30000.0, 16,3,2
0.0, 17,3,2
38412.0, 5,4,2
0.0, 8,4,2
2106.33, 9,4,2
0.0, 12,4,2
2638.33, 13,4,2
0.0, 16,4,2
4744.67, 17,4,2
2106.33, 8,5,2
0.0, 9,5,2
2638.33, 12,5,2
0.0, 13,5,2
4744.67, 16,5,2
0.0, 17,5,2
39305.0, 9,8,2
0.0, 12,8,2
1745.33, 13,8,2
0.0, 16,8,2
3851.67, 17,8,2
1745.33, 12,9,2
0.0, 13,9,2
3851.67, 16,9,2
0.0, 17,9,2
38773.0, 13,12,2
0.0, 16,12,2
4383.67, 17,12,2
4383.67, 16,13,2
0.0, 17,13,2
36020.0, 17,16,2
38412.0, 5,4,3
0.0, 8,4,3
2106.33, 9,4,3
0.0, 12,4,3
2638.33, 13,4,3
0.0, 16,4,3
4744.67, 17,4,3
2106.33, 8,5,3
0.0, 9,5,3
2638.33, 12,5,3
0.0, 13,5,3
4744.67, 16,5,3
0.0, 17,5,3
39305.0, 9,8,3
0.0, 12,8,3
1745.33, 13,8,3
0.0, 16,8,3
3851.67, 17,8,3
1745.33, 12,9,3
0.0, 13,9,3
3851.67, 16,9,3
0.0, 17,9,3
38773.0, 13,12,3
0.0, 16,12,3
4383.67, 17,12,3
4383.67, 16,13,3
0.0, 17,13,3
36020.0, 17,16,3
38412.0, 8,5,4
38412.0, 9,5,4
38412.0, 12,5,4
38412.0, 13,5,4
38412.0, 16,5,4
38412.0, 17,5,4
39305.0, 9,8,4
0.0, 12,8,4
14353.33, 13,8,4
0.0, 16,8,4
17106.33, 17,8,4
14353.33, 12,9,4
14353.33, 13,9,4
17106.33, 16,9,4
17106.33, 17,9,4
38773.0, 13,12,4
0.0, 16,12,4
